backend,centered_correspondence_turnover,centered_translation_norm_m,scene_id,scene_row_index
PCL_POINT_TO_PLANE,-0.01440040896986039,-0.00023155619202952594,FMB1_R02,23
PCL_POINT_TO_PLANE,-0.016989143486578206,-0.00033898262656857414,FMB1_R02,24
PCL_POINT_TO_PLANE,-0.014686167604000988,-0.00018601333977011732,FMB1_R02,25
PCL_POINT_TO_PLANE,-0.0011736043888604941,-0.00012192336172331348,FMB1_R02,26
PCL_POINT_TO_PLANE,-0.0019953729138866283,-0.00019067844182594926,FMB1_R02,27
PCL_POINT_TO_PLANE,0.017033185632696735,6.909658315786048e-05,FMB1_R02,28
PCL_POINT_TO_PLANE,-0.016625961004190337,-0.0002330483514722434,FMB1_R02,29
PCL_POINT_TO_PLANE,-0.00669753191408462,-0.00015007748852894086,FMB1_R02,30
PCL_POINT_TO_PLANE,-0.021175560697355267,-4.326026587908431e-05,FMB1_R03,1
PCL_POINT_TO_PLANE,-0.011809959488516819,-0.00038495982498078696,FMB1_R03,2
PCL_POINT_TO_PLANE,-0.025367698353904955,-0.00013247445007152719,FMB1_R03,3
PCL_POINT_TO_PLANE,-0.009802131932622138,3.9905900406486585e-05,FMB1_R03,4
PCL_POINT_TO_PLANE,-0.01416515816456465,-0.00019136790027087105,FMB1_R03,5
PCL_POINT_TO_PLANE,-0.028986965541779708,-0.00011066447191863168,FMB1_R03,6
PCL_POINT_TO_PLANE,-0.027657723920823885,-0.00042277919206629866,FMB1_R03,7
PCL_POINT_TO_PLANE,-0.013368717777181516,3.6447641727637174e-06,FMB1_R03,8
PCL_POINT_TO_PLANE,0.0013653295755182704,1.3498034091411035e-05,FMB1_R03,9
PCL_POINT_TO_PLANE,-0.020102313367868274,-0.0002846103569470008,FMB1_R03,10
PCL_POINT_TO_PLANE,0.03439398517689973,8.549242079602015e-05,FMB1_R03,11
PCL_POINT_TO_PLANE,-0.0013437808276828278,-0.00026094447862775563,FMB1_R03,12
PCL_POINT_TO_PLANE,0.0013437808276828278,3.163395836262156e-05,FMB1_R03,13
PCL_POINT_TO_PLANE,-0.01196986060677796,-4.856919655253026e-05,FMB1_R03,14
PCL_POINT_TO_PLANE,0.0037578208423011406,-3.6447641727637174e-06,FMB1_R03,15
PCL_POINT_TO_PLANE,0.015327254511096733,0.0005590209049004184,FMB1_R03,16
PCL_POINT_TO_PLANE,0.003704986366989904,6.621712591129336e-05,FMB1_R03,17
PCL_POINT_TO_PLANE,-0.03235984566804795,-0.00030498061801040164,FMB1_R03,18
PCL_POINT_TO_PLANE,-0.019131155582938875,-0.00010367039967815802,FMB1_R03,19
PCL_POINT_TO_PLANE,0.016901231827054275,0.00013134174412984042,FMB1_R03,20
PCL_POINT_TO_PLANE,0.008588474169464289,-0.0002462153681176541,FMB1_R03,21
PCL_POINT_TO_PLANE,0.01361189352967862,2.1086884777473205e-05,FMB1_R03,22
PCL_POINT_TO_PLANE,-0.004442178076361825,-0.0003112303796336212,FMB1_R03,23
PCL_POINT_TO_PLANE,0.010183415165815113,-0.00021384202032602472,FMB1_R03,24
PCL_POINT_TO_PLANE,-0.0073246331209374516,1.9358896831714713e-05,FMB1_R03,25
PCL_POINT_TO_PLANE,0.015750766797779647,4.959002674209689e-05,FMB1_R03,26
PCL_POINT_TO_PLANE,0.04574363122183667,0.000294077634258232,FMB1_R03,27
PCL_POINT_TO_PLANE,0.02977771212596514,0.0004966425645240621,FMB1_R03,28
PCL_POINT_TO_PLANE,0.015231677148731526,0.0001363055680623351,FMB1_R03,29
PCL_POINT_TO_PLANE,0.016003850531726593,0.0005159679501746039,FMB1_R03,30
PCL_POINT_TO_PLANE,0.011681097496408333,0.000215260521293263,FMB1_W01,1
PCL_POINT_TO_PLANE,0.0006521367239052944,-9.257751548506966e-05,FMB1_W01,2
PCL_POINT_TO_PLANE,0.02217923272236,0.00037933076328173663,FMB1_W01,3
PCL_POINT_TO_PLANE,0.006821993544011029,0.0003240623184348233,FMB1_W01,4
PCL_POINT_TO_PLANE,0.026376416359598642,0.0003472123059309691,FMB1_W01,5
PCL_POINT_TO_PLANE,0.008766884891738047,1.3787172419427445e-05,FMB1_W01,6
PCL_POINT_TO_PLANE,-0.004731530008447504,-7.151061757538688e-05,FMB1_W01,7
PCL_POINT_TO_PLANE,-0.015566807597274024,-0.00010805741521869753,FMB1_W01,8
PCL_POINT_TO_PLANE,-0.013850879166532604,-0.00013660084155159096,FMB1_W01,9
PCL_POINT_TO_PLANE,-0.0036371942168472726,-0.000362465288688477,FMB1_W01,10
PCL_POINT_TO_PLANE,0.015038417623394196,8.672557668325915e-05,FMB1_W01,11
PCL_POINT_TO_PLANE,-0.016036868160333007,-0.00013805725011836007,FMB1_W01,12
PCL_POINT_TO_PLANE,-0.0014387162846550838,0.0001809614123069104,FMB1_W01,13
PCL_POINT_TO_PLANE,-0.013820506360310625,-3.420955105632763e-05,FMB1_W01,14
